Time;S(1);dS(1);X(1);Y(1);Z(1);S(2);dS(2);X(2);Y(2);Z(2);S(3);dS(3);X(3);Y(3);Z(3);S(4);dS(4);X(4);Y(4);Z(4);S(5);dS(5);X(5);Y(5);Z(5);S(6);dS(6);X(6);Y(6);Z(6);S(7);dS(7);X(7);Y(7);Z(7);S(8);dS(8);X(8);Y(8);Z(8);S(9);dS(9);X(9);Y(9);Z(9);S(10);dS(10);X(10);Y(10);Z(10);S(11);dS(11);X(11);Y(11);Z(11);S(12);dS(12);X(12);Y(12);Z(12);S(13);dS(13);X(13);Y(13);Z(13);S(14);dS(14);X(14);Y(14);Z(14);S(15);dS(15);X(15);Y(15);Z(15);S(16);dS(16);X(16);Y(16);Z(16);S(17);dS(17);X(17);Y(17);Z(17);S(18);dS(18);X(18);Y(18);Z(18);S(19);dS(19);X(19);Y(19);Z(19);S(20);dS(20);X(20);Y(20);Z(20);S(21);dS(21);X(21);Y(21);Z(21);S(22);dS(22);X(22);Y(22);Z(22);S(23);dS(23);X(23);Y(23);Z(23);S(24);dS(24);X(24);Y(24);Z(24);
45315.000000;20713859.7185411080;89.9854618892;-3612511.9674345232;13642369.3383049180;21245565.1594527360;21477886.4854398220;-648.3518903348;7008119.7070686789;22819710.6115695200;9126883.0599750839;;;;;;;;;;;;;;;;;;;;;;;;;;23616971.9207522120;679.9620140596;-13051756.8866077310;-3310599.2780890060;21721858.5229419840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21227131.5762187760;220.9691778283;16330996.2596503310;-7903604.2001057472;17924650.6720570470;19275626.6209201070;3.1919691297;7810402.2850316875;7713265.5696173366;23023558.0264237300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45316.000000;20713952.4452519680;92.6368097166;-3613892.6277276427;13639806.2277299370;21246977.9878294990;21477240.7359263520;-645.7687524619;7007733.9545732243;22818513.2959373180;9130183.8066148963;;;;;;;;;;;;;;;;;;;;;;;;;;23617654.2473079860;682.5203149232;-13053201.0526179750;-3313184.3684297502;21720589.8260459750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21227355.0917365480;223.6080372692;16333451.6443795770;-7903628.5360316094;17922397.1532785330;19275632.3546041210;5.7762901178;7808731.0943091027;7715940.4481511014;23023224.5222341460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45317.000000;20714047.5730931950;95.0300561803;-3615273.5942359190;13637243.0633178580;21248390.3057747220;21476597.3457854840;-643.4359915746;7007347.8973115236;22817315.6129967760;9133484.3351554424;;;;;;;;;;;;;;;;;;;;;;;;;;23618338.9758731050;684.8328090006;-13054645.3534179680;-3315769.1865540631;21719320.6105580330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21227581.1150243390;226.0031135107;16335906.7201833540;-7903653.0821400136;17920143.2038888520;19275640.4892589190;8.1034884018;7807060.1477415571;7718615.4261675142;23022890.4650878240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45318.000000;20714144.8071332720;97.1680329168;-3616654.8669428527;13634679.8453957760;21249802.1132563320;21475956.0357288570;-641.3533217237;7006961.5353547642;22816117.5628141950;9136784.6455210745;;;;;;;;;;;;;;;;;;;;;;;;;;23619025.8222488800;686.8803250491;-13056089.7889421530;-3318353.7325150659;21718050.8764477970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21227809.2549630590;228.1243449857;16338361.4866335710;-7903677.8385032443;17917888.8239387760;19275650.7312970420;10.1791528620;7805389.4453142248;7721290.5035829088;23022555.8549626950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45319.000000;20714243.8242177520;98.9001608159;-3618036.4458320364;13632116.5740530120;21251213.4103008210;21475316.3810956480;-639.6907338988;7006574.8685382558;22814919.1454552860;9140084.7376377881;;;;;;;;;;;;;;;;;;;;;;;;;;23619714.2719166870;688.5108722732;-13057534.3592430220;-3320938.0063660778;21716780.6236848350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21228039.0989911180;229.8530850525;16340815.9438925310;-7903702.8049578751;17915634.0133619830;19275662.6217155980;11.8329937422;7803718.9871291984;7723965.6801981628;23022220.6918662150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45320.000000;20714344.1689154470;100.3423771148;-3619418.3309458722;13629553.2492613140;21252624.1968179490;21474678.0529942700;-638.3164513411;7006187.8968157684;22813720.3611026290;9143384.6114304755;;;;;;;;;;;;;;;;;;;;;;;;;;23620404.0221627580;689.8671179987;-13058979.0640208050;-3323522.0076909107;21715509.8524734750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21228270.4449410660;231.2937779477;16343270.0917677400;-7903727.9815752143;17913378.7724449670;19275675.8551295250;13.1967375255;7802048.7732302370;7726640.9560475629;23021884.9758351370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45321.000000;20714445.8136579770;101.5661920475;-3620800.5221498776;13626989.8712298980;21254034.4728323780;21474040.8703337650;-637.1625783087;7005800.6202572612;22812521.2097055730;9146684.2668223977;;;;;;;;;;;;;;;;;;;;;;;;;;23621095.0478935500;690.9835636232;-13060423.9033260740;-3326105.7367725149;21714238.5627264720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21228502.9223290790;232.5046044009;16345723.9303018950;-7903753.3681927398;17911123.1010053230;19275690.2520213610;14.3409295664;7800378.8036618130;7729316.3309303885;23021548.7068479140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45322.000000;20714548.4201342020;102.5790158235;-3622183.0195438769;13624426.4400479480;21255444.2382538020;21473404.6597990470;-636.2121637423;7005413.0386420507;22811321.6914463860;9149983.7036212794;;;;;;;;;;;;;;;;;;;;;;;;;;23621786.8699360300;691.9097215588;-13061868.8769786490;-3328689.1933145374;21712966.7544720580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21228736.3496490200;233.5012407596;16348177.4593032820;-7903778.9647652777;17908866.9992123470;19275705.5433281030;15.2800325179;7798709.0784100909;7731991.8048796654;23021211.8849411160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45323.000000;20714652.0986754340;103.5953334733;-3623565.8230511732;13621862.9555783640;21256853.4930482690;21472769.3842912390;-635.2501396445;7005025.1520400774;22810121.8062759640;9153282.9219803102;;;;;;;;;;;;;;;;;;;;;;;;;;23622479.5901382680;692.8407007998;-13063313.9851425920;-3331272.3772495030;21711694.4277984570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21228970.8092936170;234.5084003807;16350630.6786949560;-7903804.7713626707;17906610.4671204020;19275721.7766786890;16.2385026500;7797039.5976365339;7734667.3778085941;23020874.5101224740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45324.000000;20714756.6729493180;104.5451076705;-3624948.9326545824;13619299.4182582850;21258262.2372404820;21472135.0082714110;-634.3665799652;7004636.9604621418;22808921.5542616360;9156581.9217052236;;;;;;;;;;;;;;;;;;;;;;;;;;23623173.3182709810;693.6977647569;-13064759.2275198270;-3333855.2887390861;21710421.5826784110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21229206.1706275460;235.4464675287;16353083.5885163190;-7903830.7878237264;17904353.5046676700;19275738.8423108790;17.1177361488;7795370.3612706335;7737343.0495172637;23020536.5823709000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
